slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
bambino6-il,Bambino 6,12.00,6.00,no,0.17,0.900
bw3-il,Bergey BW-3  (smoothed),5.02,5.79,YES,4.98,0.454
cap21c-il,CAP 21   (TraCFoil),15.57,0.62,no,0.09,0.992
cast102-il,CAST 10-2/DOA 2 AIRFOIL,12.18,1.54,YES,0.39,0.875
ch10sm-il,CH10 (smoothed),12.84,10.20,YES,5.45,0.608
chen-il,CHEN AIRFOIL,12.47,7.77,YES,3.18,0.226
clarkk-il,CLARK K AIRFOIL,11.70,3.26,no,0.00,0.601
clarkv-il,CLARK V AIRFOIL,11.64,3.43,no,0.00,0.950
clarkw-il,CLARK W AIRFOIL,11.22,3.76,YES,0.63,0.400
clarkx-il,CLARK X AIRFOIL,11.70,3.30,no,0.00,0.700
clarky-il,CLARK Y AIRFOIL,11.71,3.43,no,0.01,0.340
clarkyh-il,CLARK YH AIRFOIL,11.90,5.95,no,0.00,0.000
clarym15-il,CLARK YM-15 AIRFOIL,15.00,3.56,no,0.00,0.950
clarym18-il,CLARK YM-18 AIRFOIL,17.99,3.56,no,0.00,0.000
clarkys-il,CLARK YS AIRFOIL,11.70,2.35,no,0.00,0.000
clarkz-il,CLARK Z AIRFOIL,11.75,4.06,no,0.00,0.200
clarkysm-il,CLARK-Y 11.7% smoothed,11.72,3.55,no,0.01,0.750
cr1-il,CURTISS CR-1 AIRFOIL,12.21,4.71,YES,1.05,0.420
cp-100-050-gn,Cambered plate C=10% T=5% R=1.3,6.95,6.74,YES,6.51,0.438
cp-120-050-gn,Cambered plate C=12% T=5% R=1.1,6.08,9.24,YES,8.89,0.456
cp-140-050-gn,Cambered plate C=14% T=5% R=0.96,5.50,11.59,YES,11.18,0.454
cp-160-050-gn,Cambered plate C=16% T=5% R=0.86,5.12,13.84,YES,13.41,0.468
cp-180-050-gn,Cambered plate C=18% T=5% R=0.78,4.88,16.03,YES,15.58,0.469
cp-060-050-gn,Cambered plate C=6% T=5% R=2.11,10.80,4.19,YES,1.46,0.295
cp-080-050-gn,Cambered plate C=8% T=5% R=1.6,8.36,3.99,YES,4.00,0.386
coanda1-il,Coanda 1,5.65,4.17,YES,1.35,0.300
coanda2-il,Coanda 2,6.00,4.30,YES,1.30,0.300
coanda3-il,Coanda 3,7.00,4.20,YES,0.68,0.500
curtisc72-il,Curtis C-72,11.73,5.87,YES,0.91,0.700
dga1138-il,D.G.A. 1138,6.90,4.05,YES,0.60,0.300
dga1182-il,D.G.A. 1182,7.60,0.95,YES,0.51,0.400
dae11-il,DAE-11 AIRFOIL,12.83,6.62,YES,1.75,0.635
dae21-il,DAE-21 AIRFOIL,11.78,6.57,YES,2.21,0.604
dae31-il,DAE-31 AIRFOIL,11.06,6.75,YES,2.79,0.576
dae51-il,DAE-51 AIRFOIL,9.38,4.03,YES,1.05,0.683
davis-corrected-il,DAVIS BASIC B-24 WING AIRFOIL,15.90,2.48,no,0.00,0.000
defcnd2-il,DEFIANT CANARD BL110 AIRFOIL,14.73,3.81,no,0.00,0.714
defcnd3-il,DEFIANT CANARD BL145 AIRFOIL,11.48,2.38,no,0.12,0.750
defcnd1-il,DEFIANT CANARD BL20 AIRFOIL,20.92,4.46,no,0.09,0.560
du84132v-il,DELFT DU84-132V3 AIRFOIL (MEASURED),13.63,3.05,YES,1.51,0.841
df101-il,DF 101 AIRFOIL,11.00,2.31,no,0.05,0.949
