Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-89.0,65.0,63.25880227405196,-128.89687826402096,500.43597269423697,246.2592064011669,-186.03659772406303,-83.05126075904693
-89.0,66.0,61.10565461300685,-128.85492468140592,477.435982161916,239.81200196020183,-177.33442766310398,-81.00356129078143
-89.0,67.0,58.901264452133006,-128.64334953191465,454.1184586233379,232.59262445617213,-168.32460029963676,-78.6197165846514
-89.0,68.0,56.63205909583116,-128.30076529742828,430.5033202411321,224.60777004532036,-159.03534702852713,-75.91953652618284
-89.0,69.0,54.28766482800371,-127.85222327878095,406.61155799579024,215.8640747570148,-149.50577760962028,-72.92586610236839
-89.0,70.0,51.86383463388869,-127.30608733667512,382.473106025052,206.36415003145817,-139.78631507316788,-69.66328178319765
-89.0,71.0,49.36363117300512,-126.65678833078306,358.12507073496533,196.1144121954369,-129.93603384478345,-66.15976960359303
-89.0,72.0,46.79699813192551,-125.89184597370728,333.6037581381602,185.14002387002716,-120.01812835457665,-62.44992604426805
-89.0,73.0,44.17963277601149,-124.9989494265632,308.93992367635974,173.49555409964907,-110.09652874243211,-58.57597769703138
-89.0,74.0,41.53152234891664,-123.97074124088871,284.1605072482008,161.26798108962257,-100.23478755344324,-54.58417406003585
-89.0,75.0,38.87526820789277,-122.8077188188942,259.2957853956,148.57351866526685,-90.49698873880982,-50.51786516963858
-89.0,76.0,36.23432875356336,-121.52022807925636,234.38931272416576,135.55101858898362,-80.94990280390897,-46.41093131577311
-89.0,77.0,33.63130254164285,-120.12927893578896,209.50848368634817,122.35338882806133,-71.66563898810688,-42.28449410576298
-89.0,78.0,31.086373488550134,-118.66591272656196,184.75423712489547,109.13765167871574,-62.724177382114654,-38.14794067635199
-89.0,79.0,28.61619554352192,-117.16918082067426,160.26704804912825,96.05606229944269,-54.21481060640969,-34.00444177098879
-89.0,80.0,26.23360304477822,-115.68185335446832,136.2244602069317,83.25366921383336,-46.23513398065084,-29.86146715690596
-89.0,81.0,23.94803709790083,-114.2446161898438,112.83080700793758,70.8706264612627,-38.8875482912735,-25.743699706138496
-89.0,82.0,21.766258972012523,-112.89027455743822,90.30321732937318,59.04379816789338,-32.274101336391325,-21.704298379219296
-89.0,83.0,19.693162262425908,-111.6392206877021,68.85562743700916,47.90499288436689,-26.48961409811161,-17.828562986613974
-89.0,84.0,17.732646048725385,-110.4984697442654,48.68162031279636,37.57299203457544,-21.612638145081007,-14.221064270566888
-89.0,85.0,15.888455302031543,-109.46317382429632,29.937156192053365,28.14214802274839,-17.695375306214167,-10.982301672067774
-89.0,86.0,14.164815739180586,-108.5191297986254,12.726722300452622,19.672581019918923,-14.755815778566657,-8.187316364083344
-89.0,87.0,12.566673852838845,-107.64677188273424,-2.9003883331201905,12.186931884052443,-12.776595335678891,-5.876802208392384
-89.0,88.0,11.099512495942149,-106.82548623094488,-16.943965974028288,5.673714060637899,-11.710329356983436,-4.060059501922179
-89.0,89.0,9.76884749144442,-106.03633802281124,-29.44284507979153,0.0936380496780886,-11.4875038167687,-2.721573074095684
-89.0,90.0,8.579489501446886,-105.26333814243512,-40.46345906694865,-4.612620837095575,-12.025096408140726,-1.8284114348351856
